Program Studi;Kode
Printing Management;CRI
Printing Management;CRA
Musical Instrument Fabrication and Repair;CRA
Word Processing;CRA
Construction Equipment Operator;CRA
Electrolysis/Electrology and Electrolysis Technician;CRA
Mobil Crane Operation/Operator;CRA
Medical Insurance Coding Specialist/Coder;CRA
Computer and Information Systems Security/Information Assurance;CRA
Network and Systems Administration/Administrator;CRA
Ophthalmic Technician/Technologist;CRA
"System, Networking, and LAN/WAN Management/Manager";CRA
Accounting and Business/Management;CRA
Accounting Technology/Technician and Bookkeeping;CRA
Data Processing and Data Processing Technology/Technician;CRA
Accounting and Computer Science;CRA
Computer Support Specialist;CRA
Health Information/Medical Records Technology/Technician;CRA
Administrative Assistant and Secretarial Science;CRA
Banking and Financial Support Services;CRA
Business/Office Automation/Technology/Data Entry;CRA
Court Reporting/Court Reporter;CRA
Data Entry/Microcomputer applications;CRA
Financial Forensics and Fraud Investigation;CRA
Health Information/Medical Records Administration/Administrator;CRA
Legal Assistant/Paralegal;CRA
Library and Archives Assisting;CRA
Medical Transcription/Transcriptionist;CRA
"Parts, Warehousing, and Inventory Management Operations";CRA
Accounting;CRA
"Animation, Interactive Technology, Video Graphics and Special Effects";CRA
Food Preparation/Professional Cooking/Kitchen Assistant;CRA
Institutional Food Workers;CRA
Pharmacy Technician/Assistant;CRA
General Office Occupations and Clerical Services;CRA
Medical Insurance Specialist/Medical Biller;CRA
Medical Office Assistant/Specialist;CRA
Receptionist;CRA
Taxation;CRA
Musical Instrument Fabrication and Repair;CRS
Word Processing;CRS
Construction Equipment Operator;CRE
Electrolysis/Electrology and Electrolysis Technician;CRE
Mobil Crane Operation/Operator;CRE
Medical Insurance Coding Specialist/Coder;CIR
Printing Management;CIA
Musical Instrument Fabrication and Repair;CIA
Word Processing;CIA
Construction Equipment Operator;CIA
Electrolysis/Electrology and Electrolysis Technician;CIA
Mobil Crane Operation/Operator;CIA
Medical Insurance Coding Specialist/Coder;CIA
Computer and Information Systems Security/Information Assurance;CIA
Network and Systems Administration/Administrator;CIA
Ophthalmic Technician/Technologist;CIA
"System, Networking, and LAN/WAN Management/Manager";CIA
Accounting and Business/Management;CIA
Accounting Technology/Technician and Bookkeeping;CIA
Data Processing and Data Processing Technology/Technician;CIA
Accounting and Computer Science;CIA
Computer Support Specialist;CIA
Health Information/Medical Records Technology/Technician;CIA
Administrative Assistant and Secretarial Science;CIA
Banking and Financial Support Services;CIA
Business/Office Automation/Technology/Data Entry;CIA
Court Reporting/Court Reporter;CIA
Data Entry/Microcomputer applications;CIA
Financial Forensics and Fraud Investigation;CIA
Health Information/Medical Records Administration/Administrator;CIA
Legal Assistant/Paralegal;CIA
Library and Archives Assisting;CIA
Medical Transcription/Transcriptionist;CIA
"Parts, Warehousing, and Inventory Management Operations";CIA
Accounting;CIA
"Animation, Interactive Technology, Video Graphics and Special Effects";CIA
Food Preparation/Professional Cooking/Kitchen Assistant;CIA
Institutional Food Workers;CIA
Pharmacy Technician/Assistant;CIA
General Office Occupations and Clerical Services;CIA
Medical Insurance Specialist/Medical Biller;CIA
Medical Office Assistant/Specialist;CIA
Receptionist;CIA
Taxation;CIA
Computer and Information Systems Security/Information Assurance;CIS
Network and Systems Administration/Administrator;CIS
Ophthalmic Technician/Technologist;CIS
"System, Networking, and LAN/WAN Management/Manager";CIS
Accounting and Business/Management;CIE
Printing Management;CAR
Musical Instrument Fabrication and Repair;CAR
Word Processing;CAR
Construction Equipment Operator;CAR
Electrolysis/Electrology and Electrolysis Technician;CAR
Mobil Crane Operation/Operator;CAR
Medical Insurance Coding Specialist/Coder;CAR
Computer and Information Systems Security/Information Assurance;CAR
Network and Systems Administration/Administrator;CAR
Ophthalmic Technician/Technologist;CAR
"System, Networking, and LAN/WAN Management/Manager";CAR
Accounting and Business/Management;CAR
Accounting Technology/Technician and Bookkeeping;CAR
Data Processing and Data Processing Technology/Technician;CAR
Accounting and Computer Science;CAR
Computer Support Specialist;CAR
Health Information/Medical Records Technology/Technician;CAR
Administrative Assistant and Secretarial Science;CAR
Banking and Financial Support Services;CAR
Business/Office Automation/Technology/Data Entry;CAR
Court Reporting/Court Reporter;CAR
Data Entry/Microcomputer applications;CAR
Financial Forensics and Fraud Investigation;CAR
Health Information/Medical Records Administration/Administrator;CAR
Legal Assistant/Paralegal;CAR
Library and Archives Assisting;CAR
Medical Transcription/Transcriptionist;CAR
"Parts, Warehousing, and Inventory Management Operations";CAR
Accounting;CAR
"Animation, Interactive Technology, Video Graphics and Special Effects";CAR
Food Preparation/Professional Cooking/Kitchen Assistant;CAR
Institutional Food Workers;CAR
Pharmacy Technician/Assistant;CAR
General Office Occupations and Clerical Services;CAR
Medical Insurance Specialist/Medical Biller;CAR
Medical Office Assistant/Specialist;CAR
Receptionist;CAR
Taxation;CAR
Printing Management;CAI
Musical Instrument Fabrication and Repair;CAI
Word Processing;CAI
Construction Equipment Operator;CAI
Electrolysis/Electrology and Electrolysis Technician;CAI
Mobil Crane Operation/Operator;CAI
Medical Insurance Coding Specialist/Coder;CAI
Computer and Information Systems Security/Information Assurance;CAI
Network and Systems Administration/Administrator;CAI
Ophthalmic Technician/Technologist;CAI
"System, Networking, and LAN/WAN Management/Manager";CAI
Accounting and Business/Management;CAI
Accounting Technology/Technician and Bookkeeping;CAI
Data Processing and Data Processing Technology/Technician;CAI
Accounting and Computer Science;CAI
Computer Support Specialist;CAI
Health Information/Medical Records Technology/Technician;CAI
Administrative Assistant and Secretarial Science;CAI
Banking and Financial Support Services;CAI
Business/Office Automation/Technology/Data Entry;CAI
Court Reporting/Court Reporter;CAI
Data Entry/Microcomputer applications;CAI
Financial Forensics and Fraud Investigation;CAI
Health Information/Medical Records Administration/Administrator;CAI
Legal Assistant/Paralegal;CAI
Library and Archives Assisting;CAI
Medical Transcription/Transcriptionist;CAI
"Parts, Warehousing, and Inventory Management Operations";CAI
Accounting;CAI
"Animation, Interactive Technology, Video Graphics and Special Effects";CAI
Food Preparation/Professional Cooking/Kitchen Assistant;CAI
Institutional Food Workers;CAI
Pharmacy Technician/Assistant;CAI
General Office Occupations and Clerical Services;CAI
Medical Insurance Specialist/Medical Biller;CAI
Medical Office Assistant/Specialist;CAI
Receptionist;CAI
Taxation;CAI
Printing Management;CAS
Musical Instrument Fabrication and Repair;CAS
Word Processing;CAS
Construction Equipment Operator;CAS
Electrolysis/Electrology and Electrolysis Technician;CAS
Mobil Crane Operation/Operator;CAS
Medical Insurance Coding Specialist/Coder;CAS
Computer and Information Systems Security/Information Assurance;CAS
Network and Systems Administration/Administrator;CAS
Ophthalmic Technician/Technologist;CAS
"System, Networking, and LAN/WAN Management/Manager";CAS
Accounting and Business/Management;CAS
Accounting Technology/Technician and Bookkeeping;CAS
Data Processing and Data Processing Technology/Technician;CAS
Accounting and Computer Science;CAS
Computer Support Specialist;CAS
Health Information/Medical Records Technology/Technician;CAS
Administrative Assistant and Secretarial Science;CAS
Banking and Financial Support Services;CAS
Business/Office Automation/Technology/Data Entry;CAS
Court Reporting/Court Reporter;CAS
Data Entry/Microcomputer applications;CAS
Financial Forensics and Fraud Investigation;CAS
Health Information/Medical Records Administration/Administrator;CAS
Legal Assistant/Paralegal;CAS
Library and Archives Assisting;CAS
Medical Transcription/Transcriptionist;CAS
"Parts, Warehousing, and Inventory Management Operations";CAS
Accounting;CAS
"Animation, Interactive Technology, Video Graphics and Special Effects";CAS
Food Preparation/Professional Cooking/Kitchen Assistant;CAS
Institutional Food Workers;CAS
Pharmacy Technician/Assistant;CAS
General Office Occupations and Clerical Services;CAS
Medical Insurance Specialist/Medical Biller;CAS
Medical Office Assistant/Specialist;CAS
Receptionist;CAS
Taxation;CAS
Printing Management;CAE
Musical Instrument Fabrication and Repair;CAE
Word Processing;CAE
Construction Equipment Operator;CAE
Electrolysis/Electrology and Electrolysis Technician;CAE
Mobil Crane Operation/Operator;CAE
Medical Insurance Coding Specialist/Coder;CAE
Computer and Information Systems Security/Information Assurance;CAE
Network and Systems Administration/Administrator;CAE
Ophthalmic Technician/Technologist;CAE
"System, Networking, and LAN/WAN Management/Manager";CAE
Accounting and Business/Management;CAE
Accounting Technology/Technician and Bookkeeping;CAE
Data Processing and Data Processing Technology/Technician;CAE
Accounting and Computer Science;CAE
Computer Support Specialist;CAE
Health Information/Medical Records Technology/Technician;CAE
Administrative Assistant and Secretarial Science;CAE
Banking and Financial Support Services;CAE
Business/Office Automation/Technology/Data Entry;CAE
Court Reporting/Court Reporter;CAE
Data Entry/Microcomputer applications;CAE
Financial Forensics and Fraud Investigation;CAE
Health Information/Medical Records Administration/Administrator;CAE
Legal Assistant/Paralegal;CAE
Library and Archives Assisting;CAE
Medical Transcription/Transcriptionist;CAE
"Parts, Warehousing, and Inventory Management Operations";CAE
Accounting;CAE
"Animation, Interactive Technology, Video Graphics and Special Effects";CAE
Food Preparation/Professional Cooking/Kitchen Assistant;CAE
Institutional Food Workers;CAE
Pharmacy Technician/Assistant;CAE
General Office Occupations and Clerical Services;CAE
Medical Insurance Specialist/Medical Biller;CAE
Medical Office Assistant/Specialist;CAE
Receptionist;CAE
Taxation;CAE
Accounting Technology/Technician and Bookkeeping;CSR
Data Processing and Data Processing Technology/Technician;CSR
Accounting and Computer Science;CSI
Computer Support Specialist;CSI
Health Information/Medical Records Technology/Technician;CSI
Printing Management;CSA
Musical Instrument Fabrication and Repair;CSA
Word Processing;CSA
Construction Equipment Operator;CSA
Electrolysis/Electrology and Electrolysis Technician;CSA
Mobil Crane Operation/Operator;CSA
Medical Insurance Coding Specialist/Coder;CSA
Computer and Information Systems Security/Information Assurance;CSA
Network and Systems Administration/Administrator;CSA
Ophthalmic Technician/Technologist;CSA
"System, Networking, and LAN/WAN Management/Manager";CSA
Accounting and Business/Management;CSA
Accounting Technology/Technician and Bookkeeping;CSA
Data Processing and Data Processing Technology/Technician;CSA
Accounting and Computer Science;CSA
Computer Support Specialist;CSA
Health Information/Medical Records Technology/Technician;CSA
Administrative Assistant and Secretarial Science;CSA
Banking and Financial Support Services;CSA
Business/Office Automation/Technology/Data Entry;CSA
Court Reporting/Court Reporter;CSA
Data Entry/Microcomputer applications;CSA
Financial Forensics and Fraud Investigation;CSA
Health Information/Medical Records Administration/Administrator;CSA
Legal Assistant/Paralegal;CSA
Library and Archives Assisting;CSA
Medical Transcription/Transcriptionist;CSA
"Parts, Warehousing, and Inventory Management Operations";CSA
Accounting;CSA
"Animation, Interactive Technology, Video Graphics and Special Effects";CSA
Food Preparation/Professional Cooking/Kitchen Assistant;CSA
Institutional Food Workers;CSA
Pharmacy Technician/Assistant;CSA
General Office Occupations and Clerical Services;CSA
Medical Insurance Specialist/Medical Biller;CSA
Medical Office Assistant/Specialist;CSA
Receptionist;CSA
Taxation;CSA
Administrative Assistant and Secretarial Science;CSE
Banking and Financial Support Services;CSE
Business/Office Automation/Technology/Data Entry;CSE
Court Reporting/Court Reporter;CSE
Data Entry/Microcomputer applications;CSE
Financial Forensics and Fraud Investigation;CSE
Health Information/Medical Records Administration/Administrator;CSE
Legal Assistant/Paralegal;CSE
Library and Archives Assisting;CSE
Medical Transcription/Transcriptionist;CSE
"Parts, Warehousing, and Inventory Management Operations";CSE
Accounting;CSE
"Animation, Interactive Technology, Video Graphics and Special Effects";CSE
Food Preparation/Professional Cooking/Kitchen Assistant;CSE
Institutional Food Workers;CSE
Pharmacy Technician/Assistant;CSE
Printing Management;CEI
Musical Instrument Fabrication and Repair;CEI
Word Processing;CEI
Construction Equipment Operator;CEI
Electrolysis/Electrology and Electrolysis Technician;CEI
Mobil Crane Operation/Operator;CEI
Medical Insurance Coding Specialist/Coder;CEI
Computer and Information Systems Security/Information Assurance;CEI
Network and Systems Administration/Administrator;CEI
Ophthalmic Technician/Technologist;CEI
"System, Networking, and LAN/WAN Management/Manager";CEI
Accounting and Business/Management;CEI
Accounting Technology/Technician and Bookkeeping;CEI
Data Processing and Data Processing Technology/Technician;CEI
Accounting and Computer Science;CEI
Computer Support Specialist;CEI
Health Information/Medical Records Technology/Technician;CEI
Administrative Assistant and Secretarial Science;CEI
Banking and Financial Support Services;CEI
Business/Office Automation/Technology/Data Entry;CEI
Court Reporting/Court Reporter;CEI
Data Entry/Microcomputer applications;CEI
Financial Forensics and Fraud Investigation;CEI
Health Information/Medical Records Administration/Administrator;CEI
Legal Assistant/Paralegal;CEI
Library and Archives Assisting;CEI
Medical Transcription/Transcriptionist;CEI
"Parts, Warehousing, and Inventory Management Operations";CEI
Accounting;CEI
"Animation, Interactive Technology, Video Graphics and Special Effects";CEI
Food Preparation/Professional Cooking/Kitchen Assistant;CEI
Institutional Food Workers;CEI
Pharmacy Technician/Assistant;CEI
General Office Occupations and Clerical Services;CEI
Medical Insurance Specialist/Medical Biller;CEI
Medical Office Assistant/Specialist;CEI
Receptionist;CEI
Taxation;CEI
Printing Management;CEA
Musical Instrument Fabrication and Repair;CEA
Word Processing;CEA
Construction Equipment Operator;CEA
Electrolysis/Electrology and Electrolysis Technician;CEA
Mobil Crane Operation/Operator;CEA
Medical Insurance Coding Specialist/Coder;CEA
Computer and Information Systems Security/Information Assurance;CEA
Network and Systems Administration/Administrator;CEA
Ophthalmic Technician/Technologist;CEA
"System, Networking, and LAN/WAN Management/Manager";CEA
Accounting and Business/Management;CEA
Accounting Technology/Technician and Bookkeeping;CEA
Data Processing and Data Processing Technology/Technician;CEA
Accounting and Computer Science;CEA
Computer Support Specialist;CEA
Health Information/Medical Records Technology/Technician;CEA
Administrative Assistant and Secretarial Science;CEA
Banking and Financial Support Services;CEA
Business/Office Automation/Technology/Data Entry;CEA
Court Reporting/Court Reporter;CEA
Data Entry/Microcomputer applications;CEA
Financial Forensics and Fraud Investigation;CEA
Health Information/Medical Records Administration/Administrator;CEA
Legal Assistant/Paralegal;CEA
Library and Archives Assisting;CEA
Medical Transcription/Transcriptionist;CEA
"Parts, Warehousing, and Inventory Management Operations";CEA
Accounting;CEA
"Animation, Interactive Technology, Video Graphics and Special Effects";CEA
Food Preparation/Professional Cooking/Kitchen Assistant;CEA
Institutional Food Workers;CEA
Pharmacy Technician/Assistant;CEA
General Office Occupations and Clerical Services;CEA
Medical Insurance Specialist/Medical Biller;CEA
Medical Office Assistant/Specialist;CEA
Receptionist;CEA
Taxation;CEA
General Office Occupations and Clerical Services;CES
Medical Insurance Specialist/Medical Biller;CES
Medical Office Assistant/Specialist;CES
Receptionist;CES
Taxation;CES
Aesthetician/Esthetician and Skin Care Specialist (RSA);RAS
Facial Treatment Specialist/Facialist (RSA);RAS
Commercial Photography (ARS);RAS
Photography (ARS);RAS
Fashion and Fabric Consultant (ASR);RAS
Fashion /Apparel Design (ASR);RAS
Baking and Pastry Arts/Baker/Pastry Chef (RAS);RSA
Cooking and Related Culinary Arts (RAS);RSA
Culinary Arts/Chef Training (RAS);RSA
Commercial Photography (ARS);RSA
Photography (ARS);RSA
Fashion and Fabric Consultant (ASR);RSA
Fashion /Apparel Design (ASR);RSA
Anesthesiologist Assistant (SCR);RSC
Medical Administrative/Executive Assistant and Medical Secretary (SCR);RSC
Medical/Clinical Assistant (SCR);RSC
Physical Therapy Techician/Assistant (SCR);RSC
Electrical and Power Transmission Installation (RCS);RSC
Electroneurodiagostic/Electroencephalographic Technology/Technologist (RCS);RSC
Furniture Design and Manufacturing (RCS);RSC
Industrial Radiologic Technology/Technician (RCS);RSC
Medium/Heavy Vehicle and Truck Technology/Technician (RCS);RSC
Nuclear and Industrial Radiologic Technology/Technician (RCS);RSC
Nuclear Engineering Technology/Technician (RCS);RSC
Nuclear/Nuclear Power Technology/Technician (RCS);RSC
Parts and Warehousing Operations and Maintenance Technology/Technician (RCS);RSC
Polysomnography (RCS);RSC
"Security System Installation, Repair, and Inspection Technology/Technician (RCS)";RSC
Traffic Control (RCS);RSC
Truck and Bus Driver/Commercial Vehicle Operator and Instructor (RCS);RSC
Upholstery/Upholsterer (RCS);RSC
Learning Sciences (SRC);RSC
Speech Language Pathology/Assistant (SRC);RSC
Accounting Technology/Technician and Bookkeeping (CSR);RSC
Data Processing and Data Processing Technology/Technician (CSR);RSC
Musical Instrument Fabrication and Repair (CRS);RSC
Word Processing (CRS);RSC
Graphic and Printing Equipment Operator Production (ARE);REA
Progress/Desktop Publishing af Digital Imaging Design (ARE);REA
Agricultural Communication/Journalism (AER);REA
Art/Art Studies (AER);REA
Ballet (AER);REA
Ceramic Arts and Ceramics (AER);REA
Commercial and Advertising Art (AER);REA
Dance (AER);REA
Design ad Visual Communications (AER);REA
Drawing (AER);REA
Energy Management and Systems Technology/Technician (AER);REA
Fine Arts ad Art Studies (AER);REA
Industrial and Product Design (AER);REA
Interior Architecture (AER);REA
Make-up Artist/Specialist (AER);REA
Medical Illustration/Medical Illustrator (AER);REA
Packaging Sciece (AER);REA
Painting (AER);REA
Permanent Cosmetics/Makeup and Tattooing (AER);REA
Printmaking (AER);REA
Sculpture (AER);REA
Visual and Performing Arts (AER);REA
Biology/Biological Sciences (IAR);IRA
Population Biology (IAR);IRA
Structural Biology (IAR);IRA
Architectural History and Criticism (AIR);IRA
Environmental  Design (AIR);IRA
Costume Design (ARI);IRA
Biopsychology (IRA);IAR
Architectural History and Criticism (AIR);IAR
Environmental  Design (AIR);IAR
Costume Design (ARI);IAR
Accounting and Business/Management (CIE);IEC
Agricultural Economics (EIC);IEC
Information Technology Project Management (EIC);IEC
Marketing (EIC);IEC
Auditing (ECI);IEC
Franchising and Organizational Psychology (ECI);IEC
Industrial and Organizational Psychology (ECI);IEC
International Economics (ECI);IEC
International Relations and Affairs (ECI);IEC
Project Management (ECI);IEC
Research Methodology ad Quantitative Methods (ECI);IEC
Small Business Administration/Management (ECI);IEC
Architectural History and Criticism (AIR);ARI
Environmental  Design (AIR);ARI
Biopsychology (IRA);ARI
Biology/Biological Sciences (IAR);ARI
Population Biology (IAR);ARI
Structural Biology (IAR);ARI
Fashion and Fabric Consultant (ASR);ARS
Fashion /Apparel Design (ASR);ARS
Baking and Pastry Arts/Baker/Pastry Chef (RAS);ARS
Cooking and Related Culinary Arts (RAS);ARS
Culinary Arts/Chef Training (RAS);ARS
Aesthetician/Esthetician and Skin Care Specialist (RSA);ARS
Facial Treatment Specialist/Facialist (RSA);ARS
Agricultural Communication/Journalism (AER);ARE
Art/Art Studies (AER);ARE
Ballet (AER);ARE
Ceramic Arts and Ceramics (AER);ARE
Commercial and Advertising Art (AER);ARE
Dance (AER);ARE
Design and Visual Communications (AER);ARE
Drawing (AER);ARE
Energy Management and Systems Technology/Technician (AER);ARE
Fine Arts and Art Studies (AER);ARE
Industrial and Product Design (AER);ARE
Interior Architecture (AER);ARE
Make-up Artist/Specialist (AER);ARE
Medical Illustration/Medical Illustrator (AER);ARE
Packaging Science  (AER);ARE
Painting (AER);ARE
Permanent Cosmetics/Makeup and Tattooing (AER);ARE
Printmaking (AER);ARE
Sculpture (AER);ARE
Visual and Performing Arts (AER);ARE
Costume Design (ARI);AIR
Biopsychology (IRA);AIR
Biology/Biological Sciences (IAR);AIR
Population Biology (IAR);AIR
Structural Biology (IAR);AIR
Children and Youth Library Services (SAI);AIS
Dental Assisting/Assistant (SAI);AIS
Dental Hygiene/Hygienist (SAI);AIS
Ethics (SAI);AIS
Library and Information Service (SAI);AIS
Library Science and Administration (SAI);AIS
Marriage and Family Therapy Counseling (SAI);AIS
School Librarian/School Library Media Specialist (SAI);AIS
Speech Language Pathology/Pathologist (SAI);AIS
Clinical Psychology (SIA);AIS
Counseling Psychology (SIA);AIS
Genetic Counseling/Counselor (SIA);AIS
Health/Medical Psychology (SIA);AIS
Psychoanalysis and Psychotherapy (SIA);AIS
Applied Psychology (ISA);AIS
Internal Medicine (ISA);AIS
Physician Assistant (ISA);AIS
Psychiatry (ISA);AIS
Psychopharmacology (ISA);AIS
Business/Managerial Economics (IAS);AIS
Development Economics and International Development (IAS);AIS
Economics (IAS);AIS
"Foreign Languages, Literatures, and Linguistics (IAS)";AIS
"Linguistic, Comparative, and Related Language Studies and Services (IAS)";AIS
Commercial Photography (ARS);ASR
Photography (ARS);ASR
Baking and Pastry Arts/Baker/Pastry Chef (RAS);ASR
Cooking and Related Culinary Arts (RAS);ASR
Culinary Arts/Chef Training (RAS);ASR
Aesthetician/Esthetician and Skin Care Specialist (RSA);ASR
Facial Treatment Specialist/Facialist (RSA);ASR
Children and Youth Library Services (SAI);ASI
Dental Assisting/Assistant (SAI);ASI
Dental Hygiene/Hygienist (SAI);ASI
Ethics (SAI);ASI
Library and Information Service (SAI);ASI
Library Science and Administration (SAI);ASI
Marriage and Family Therapy Counseling (SAI);ASI
School Librarian/School Library Media Specialist (SAI);ASI
Speech Language Pathology/Pathologist (SAI);ASI
Clinical Psychology (SIA);ASI
Counseling Psychology (SIA);ASI
Genetic Counseling/Counselor (SIA);ASI
Health/Medical Psychology (SIA);ASI
Psychoanalysis and Psychotherapy (SIA);ASI
Applied Psychology (ISA);ASI
Internal Medicine (ISA);ASI
Physician Assistant (ISA);ASI
Psychiatry (ISA);ASI
Psychopharmacology (ISA);ASI
Business/Managerial Economics (IAS);ASI
Development Economics and International Development (IAS);ASI
Economics (IAS);ASI
"Foreign Languages, Literatures, and Linguistics (IAS)";ASI
"Linguistic, Comparative, and Related Language Studies and Services (IAS)";ASI
Baking and Pastry Arts/Baker/Pastry Chef (RAS);SRA
Cooking and Related Culinary Arts (RAS);SRA
Culinary Arts/Chef Training (RAS);SRA
Aesthetician/Esthetician and Skin Care Specialist (RSA);SRA
Facial Treatment Specialist/Facialist (RSA);SRA
Commercial Photography (ARS);SRA
Photography (ARS);SRA
Fashion and Fabric Consultant (ASR);SRA
Fashion /Apparel Design (ASR);SRA
Electrical and Power Transmission Installation (RCS);SRC
Electroneurodiagostic/Electroencephalographic Technology/Technologist (RCS);SRC
Furniture Design and Manufacturing (RCS);SRC
Industrial Radiologic Technology/Technician (RCS);SRC
Medium/Heavy Vehicle and Truck Technology/Technician (RCS);SRC
Nuclear and Industrial Radiologic Technology/Technician (RCS);SRC
Nuclear Engineering Technology/Technician (RCS);SRC
Nuclear/Nuclear Power Technology/Technician (RCS);SRC
Parts and Warehousing Operations and Maintenance Technology/Technician (RCS);SRC
Polysomnography (RCS);SRC
"Security System Installation, Repair, and Inspection Technology/Technician (RCS)";SRC
Traffic Control (RCS);SRC
Truck and Bus Driver/Commercial Vehicle Operator and Instructor (RCS);SRC
Upholstery/Upholsterer (RCS);SRC
Anesthesiologist Assistant (SCR);SRC
Medical Administrative/Executive Assistant and Medical Secretary (SCR);SRC
Medical/Clinical Assistant (SCR);SRC
Physical Therapy Techician/Assistant (SCR);SRC
Bicycle Mechanics and Repair Technology/Technician (RSC);SRC
Precision Metal Working (RSC);SRC
Accounting Technology/Technician and Bookkeeping (CSR);SRC
Data Processing and Data Processing Technology/Technician (CSR);SRC
Musical Instrument Fabrication and Repair (CRS);SRC
Word Processing (CRS);SRC
Brass Istruments (ASC);SAC
Jazz/Jazz Studies (ASC);SAC
Keyboard Instruments (ASC);SAC
Music Pedagogy (ASC);SAC
Percussion Instruments (ASC);SAC
Stringed Instruments (ASC);SAC
Woodwind Instrumets (ASC);SAC
Learning Sciences (SRC);SCR
Speech Language Pathology/Assistant (SRC);SCR
Bicycle Mechanics and Repair Technology/Technician (RSC);SCR
Precision Metal Working (RSC);SCR
Electrical and Power Transmission Installation (RCS);SCR
Electroneurodiagostic/Electroencephalographic Technology/Technologist (RCS);SCR
Furniture Design and Manufacturing (RCS);SCR
Industrial Radiologic Technology/Technician (RCS);SCR
Medium/Heavy Vehicle and Truck Technology/Technician (RCS);SCR
Nuclear and Industrial Radiologic Technology/Technician (RCS);SCR
Nuclear Engineering Technology/Technician (RCS);SCR
Nuclear/Nuclear Power Technology/Technician (RCS);SCR
Parts and Warehousing Operations and Maintenance Technology/Technician (RCS);SCR
Polysomnography (RCS);SCR
"Security System Installation, Repair, and Inspection Technology/Technician (RCS)";SCR
Traffic Control (RCS);SCR
Truck and Bus Driver/Commercial Vehicle Operator and Instructor (RCS);SCR
Upholstery/Upholsterer (RCS);SCR
Musical Instrument Fabrication and Repair (CRS);SCR
Word Processing (CRS);SCR
Accounting Technology/Technician and Bookkeeping (CSR);SCR
Data Processing and Data Processing Technology/Technician (CSR);SCR
Computer and Information Systems Security/Information Assurance (CIS);SCI
Network and Systems Administration/Administrator (CIS);SCI
Ophthalmic Technician/Technologist (CIS);SCI
"System, Networking, and LAN/WAN Management/Manager (CIS)";SCI
Accounting and Computer Science (CSI);SCI
Computer Support Specialist (CSI);SCI
Health Information/Medical Records Technology/Technician (CSI);SCI
Applied Liguistics (ISC);SCI
Aquatic Biology (ISC);SCI
"Cell Biology, Anomatical Science and Anatomy (ISC)";SCI
Computer Systems Networking and Telecommunications (ISC);SCI
Developmental Biology and Embryology (ISC);SCI
Environmental Biology (ISC);SCI
Linguistics (ISC);SCI
Microbiology (ISC);SCI
Graphic Communications (REA);ERA
Graphic and Printing Equipment Operator Production (ARE);ERA
Progress/Desktop Publishing af Digital Imaging Design (ARE);ERA
Agricultural Communication/Journalism (AER);ERA
Art/Art Studies (AER);ERA
Ballet (AER);ERA
Ceramic Arts and Ceramics (AER);ERA
Commercial and Advertising Art (AER);ERA
Dance (AER);ERA
Design ad Visual Communications (AER);ERA
Drawing (AER);ERA
Energy Management and Systems Technology/Technician (AER);ERA
Fine Arts and Art Studies (AER);ERA
Industrial and Product Design (AER);ERA
Interior Architecture (AER);ERA
Make-up Artist/Specialist (AER);ERA
Medical Illustration/Medical Illustrator (AER);ERA
Packaging Sciece (AER);ERA
Painting (AER);ERA
Permanent Cosmetics/Makeup and Tattooing (AER);ERA
Printmaking (AER);ERA
Sculpture (AER);ERA
Visual and Performing Arts (AER);ERA
Aeronautics/Aviation/Aerospace Science and Technology (ERI);EIR
Cyber/Electronic Operations and Warfare (ERI);EIR
Information Operations/Joint Information Operations (ERI);EIR
Information/Psychological Warfare and Military Media Relations (ERI);EIR
"Intelligence, Command Sontrol and Information Operations (ERI)";EIR
Joint Command/Task Force Systems (ERI);EIR
Military Information Systems Technology (ERI);EIR
Research and Developmental Management (ERI);EIR
Agricultural Mechanization (REI);EIR
Agricultural Teacher Education (REI);EIR
Commercial Fishing (REI);EIR
Communications Systems Installation and Repair Technology (REI);EIR
Diesel Mechanics Technology/Technician (REI);EIR
Greenhouse Operations and Management (REI);EIR
Industrial Mechanics and Maintenance Technology (REI);EIR
Marine Maintenance/Fitter and Ship Repair Technology/Technician (REI);EIR
Metal Building Assembly/Assembler (REI);EIR
Metallurgical Technology/Technician (REI);EIR
Plumbing Techology/Plumber (REI);EIR
Sheet Metal Technology/Sheetworking (REI);EIR
"Traffic, Customs, and Transportation Clerk/Technician (REI)";EIR
Turf and Turfgrass Management (REI);EIR
Water Quality and Wastewater Treatment Management and Recycling Technology/Technician (REI);EIR
Woodworking (REI);EIR
Aeronautical/Aerospace Engineering Technology/Technician (RIE);EIR
Agricultural Mechanics and Equipment/Machine Technology (RIE) ;EIR
Aircraft Powerplant Technology/Technician (RIE);EIR
Airframe Mechanics and Aircraft Maintenance Technology/Technician (RIE);EIR
Airline/Commercial/Professional/Pilot and Flight Crew (RIE);EIR
Appliance Installation and Repair Technology/Technician (RIE);EIR
Biology Technician/Biotechnology/Laboratory Technician (RIE);EIR
Biomedical Technology/Technician (RIE);EIR
Blasting/Blaster (RIE);EIR
Civil Drafting and Civil Egineering CAD/CADD (RIE);EIR
Computer Engineering Technology/Technician (RIE);EIR
Engine Machinist (RIE);EIR
Engineering/Industrial Management (RIE);EIR
Flight Instructor (RIE);EIR
Gunsmithing/Gunsmith (RIE);EIR
Instrumentation Technology/Technician (RIE) ;EIR
Machine Shop Technology/Assistant (RIE);EIR
